Date,MktWealth
1926-10-27,1.039091062180505
1926-10-28,1.0382597893307606
1926-10-29,1.0377406594360952
1926-10-30,1.0352500818534487
1926-11-01,1.0401157572381599
1926-11-03,1.04230000032836
1926-11-04,1.04855380033033
1926-11-05,1.0493926433705942
1926-11-06,1.0510716715999873
1926-11-08,1.0566423514594674
1926-11-09,1.0581216507515108
1926-11-10,1.051984545177152
1926-11-11,1.0590328416298387
1926-11-12,1.0616804237339132
1926-11-13,1.0591323907169519
1926-11-15,1.0630511805626046
1926-11-16,1.064858367569561
1926-11-17,1.0611313632830677
1926-11-18,1.0562501590119655
1926-11-19,1.0497014080260914
1926-11-20,1.0540051837989983
1926-11-22,1.0601184138650326
1926-11-23,1.0637228164721737
1926-11-24,1.0646801670069985
1926-11-26,1.0669159953577132
1926-11-27,1.0654223129642124
1926-11-29,1.0615867926375413
1926-11-30,1.064346918298399
1926-12-01,1.068285001896103
1926-12-02,1.0738400839059628
1926-12-03,1.0773837561828525
1926-12-04,1.07565994217296
1926-12-06,1.0761977721440463
1926-12-07,1.0758749128124032
1926-12-08,1.0751218003734344
1926-12-09,1.0798523362950774
1926-12-10,1.0837398047057396
1926-12-11,1.0848235445104453
1926-12-13,1.0894882857518402
1926-12-14,1.0907956716947425
1926-12-15,1.092540944769454
1926-12-16,1.0859856991008374
1926-12-17,1.0959767675325651
1926-12-18,1.100689467632955
1926-12-20,1.0973873992300562
1926-12-21,1.0971679217502102
1926-12-22,1.09738735533456
1926-12-23,1.1006795174005637
1926-12-24,1.1042016918562456
1926-12-27,1.1018828683033475
1926-12-28,1.089872345038841
1926-12-29,1.0947767705915157
1926-12-30,1.0910545295715046
1926-12-31,1.094873220425005
1927-01-03,1.0863332093056899
1927-01-04,1.0897008422545376
1927-01-05,1.0913353935179195
1927-01-06,1.089480123348939
1927-01-07,1.0928575117313208
1927-01-08,1.0972289417782461
1927-01-10,1.0988747851909135
1927-01-11,1.095797935792379
1927-01-12,1.0967841539345922
1927-01-13,1.0964551186884117
1927-01-14,1.0971129917596247
1927-01-15,1.0986489499480883
1927-01-17,1.0984292201580987
1927-01-18,1.0978800055480198
1927-01-19,1.1045770735818627
1927-01-20,1.1026992925567736
1927-01-21,1.1026992925567736
1927-01-22,1.098839845032825
1927-01-24,1.0936752977611706
1927-01-25,1.0816448694857976
1927-01-26,1.0839163237117178
1927-01-27,1.080231008211098
1927-01-28,1.0820674009250568
1927-01-29,1.0901829064319948
1927-01-31,1.096942040451873
1927-02-01,1.096942040451873
1927-02-02,1.104620634735036
1927-02-03,1.106608951877559
1927-02-04,1.1107034049995061
1927-02-05,1.108704138870507
1927-02-07,1.1073736939038623
1927-02-08,1.1085918049671566
1927-02-09,1.1089243825086468
1927-02-10,1.1100333068911552
1927-02-11,1.113585413473207
1927-02-14,1.1193760576232679
1927-02-15,1.1206073712866536
1927-02-16,1.120495310549525
1927-02-17,1.1232965488258988
1927-02-18,1.1270034274370244
1927-02-19,1.1273415284652555
1927-02-21,1.1256505161725576
1927-02-23,1.1339803299922346
1927-02-24,1.1355679024542238
1927-02-25,1.1380661518396231
1927-02-26,1.1389766047610947
1927-02-28,1.145468771408233
1927-03-01,1.1410014431997408
1927-03-02,1.1282222270359037
1927-03-03,1.1398429159743735
1927-03-04,1.1348276071440864
1927-03-05,1.132217503647655
